seq,tracker,model,GT_IN,GT_OUT,GT_TOTAL,Pred_IN,Pred_OUT,Pred_TOTAL,MAE,MAE_IN,MAE_OUT,Error_Pct,RMSE_Interval,Over_Count,Under_Count
MOT20-01,GroundTruth,Ideal (GT-Track),6,4,10,6,4,10,0.0,0.0,0.0,0.0,0.0,0,0
MOT20-01,ocsort,State Machine (CD=30),6,4,10,6,3,9,1.0,0.0,1.0,10.0,0.0,0,1
MOT20-01,diffmot,State Machine (CD=30),6,4,10,6,3,9,1.0,0.0,1.0,10.0,0.0,0,1
MOT20-01,lighttrack,State Machine (CD=30),6,4,10,6,3,9,1.0,0.0,1.0,10.0,0.0,0,1
MOT20-02,GroundTruth,Ideal (GT-Track),89,108,197,89,108,197,0.0,0.0,0.0,0.0,0.0,0,0
MOT20-02,ocsort,State Machine (CD=30),89,108,197,90,75,165,32.0,1.0,33.0,16.24,19.42,0,32
MOT20-02,diffmot,State Machine (CD=30),89,108,197,94,75,169,28.0,5.0,33.0,14.21,18.85,0,28
MOT20-02,lighttrack,State Machine (CD=30),89,108,197,113,86,199,2.0,24.0,22.0,1.02,4.04,2,0
MOT20-03,GroundTruth,Ideal (GT-Track),42,170,212,42,170,212,0.0,0.0,0.0,0.0,0.0,0,0
MOT20-03,ocsort,State Machine (CD=30),42,170,212,37,143,180,32.0,5.0,27.0,15.09,13.52,0,32
MOT20-03,diffmot,State Machine (CD=30),42,170,212,47,145,192,20.0,5.0,25.0,9.43,7.74,0,20
MOT20-03,lighttrack,State Machine (CD=30),42,170,212,47,171,218,6.0,5.0,1.0,2.83,9.74,6,0
MOT20-05,GroundTruth,Ideal (GT-Track),147,190,337,147,190,337,0.0,0.0,0.0,0.0,0.0,0,0
MOT20-05,ocsort,State Machine (CD=30),147,190,337,128,195,323,14.0,19.0,5.0,4.15,6.67,0,14
MOT20-05,diffmot,State Machine (CD=30),147,190,337,137,196,333,4.0,10.0,6.0,1.19,3.23,0,4
MOT20-05,lighttrack,State Machine (CD=30),147,190,337,173,250,423,86.0,26.0,60.0,25.52,55.45,86,0
