seq,tracker,model,GT_TOTAL,Pred_TOTAL,MAE,Error_Pct,RMSE,Over_Count,Under_Count
MOT20-01,ocsort,Model_A_Naive,10,9,1,10.0,0.0,0,1
MOT20-01,ocsort,Model_B_CD15,10,9,1,10.0,0.0,0,1
MOT20-01,ocsort,Model_B_CD30_Default,10,9,1,10.0,0.0,0,1
MOT20-01,ocsort,Model_B_CD60,10,9,1,10.0,0.0,0,1
MOT20-01,diffmot,Model_A_Naive,10,9,1,10.0,0.0,0,1
MOT20-01,diffmot,Model_B_CD15,10,9,1,10.0,0.0,0,1
MOT20-01,diffmot,Model_B_CD30_Default,10,9,1,10.0,0.0,0,1
MOT20-01,diffmot,Model_B_CD60,10,9,1,10.0,0.0,0,1
MOT20-01,lighttrack,Model_A_Naive,10,9,1,10.0,0.0,0,1
MOT20-01,lighttrack,Model_B_CD15,10,9,1,10.0,0.0,0,1
MOT20-01,lighttrack,Model_B_CD30_Default,10,9,1,10.0,0.0,0,1
MOT20-01,lighttrack,Model_B_CD60,10,9,1,10.0,0.0,0,1
MOT20-02,ocsort,Model_A_Naive,197,231,34,17.26,16.25,34,0
MOT20-02,ocsort,Model_B_CD15,197,171,26,13.2,15.71,0,26
MOT20-02,ocsort,Model_B_CD30_Default,197,165,32,16.24,19.42,0,32
MOT20-02,ocsort,Model_B_CD60,197,156,41,20.81,24.23,0,41
MOT20-02,diffmot,Model_A_Naive,197,237,40,20.3,18.06,40,0
MOT20-02,diffmot,Model_B_CD15,197,176,21,10.66,14.38,0,21
MOT20-02,diffmot,Model_B_CD30_Default,197,169,28,14.21,18.85,0,28
MOT20-02,diffmot,Model_B_CD60,197,163,34,17.26,21.9,0,34
MOT20-02,lighttrack,Model_A_Naive,197,268,71,36.04,37.12,71,0
MOT20-02,lighttrack,Model_B_CD15,197,215,18,9.14,10.08,18,0
MOT20-02,lighttrack,Model_B_CD30_Default,197,199,2,1.02,4.04,2,0
MOT20-02,lighttrack,Model_B_CD60,197,190,7,3.55,7.39,0,7
MOT20-03,ocsort,Model_A_Naive,212,253,41,19.34,32.12,41,0
MOT20-03,ocsort,Model_B_CD15,212,186,26,12.26,10.43,0,26
MOT20-03,ocsort,Model_B_CD30_Default,212,180,32,15.09,13.52,0,32
MOT20-03,ocsort,Model_B_CD60,212,174,38,17.92,17.04,0,38
MOT20-03,diffmot,Model_A_Naive,212,306,94,44.34,64.85,94,0
MOT20-03,diffmot,Model_B_CD15,212,205,7,3.3,8.84,0,7
MOT20-03,diffmot,Model_B_CD30_Default,212,192,20,9.43,7.74,0,20
MOT20-03,diffmot,Model_B_CD60,212,186,26,12.26,10.14,0,26
MOT20-03,lighttrack,Model_A_Naive,212,280,68,32.08,41.84,68,0
MOT20-03,lighttrack,Model_B_CD15,212,223,11,5.19,12.65,11,0
MOT20-03,lighttrack,Model_B_CD30_Default,212,218,6,2.83,9.74,6,0
MOT20-03,lighttrack,Model_B_CD60,212,212,0,0.0,5.78,0,0
MOT20-05,ocsort,Model_A_Naive,337,465,128,37.98,81.24,128,0
MOT20-05,ocsort,Model_B_CD15,337,339,2,0.59,4.51,2,0
MOT20-05,ocsort,Model_B_CD30_Default,337,323,14,4.15,6.67,0,14
MOT20-05,ocsort,Model_B_CD60,337,304,33,9.79,17.67,0,33
MOT20-05,diffmot,Model_A_Naive,337,533,196,58.16,127.42,196,0
MOT20-05,diffmot,Model_B_CD15,337,351,14,4.15,11.07,14,0
MOT20-05,diffmot,Model_B_CD30_Default,337,333,4,1.19,3.23,0,4
MOT20-05,diffmot,Model_B_CD60,337,315,22,6.53,11.58,0,22
MOT20-05,lighttrack,Model_A_Naive,337,580,243,72.11,156.5,243,0
MOT20-05,lighttrack,Model_B_CD15,337,448,111,32.94,71.84,111,0
MOT20-05,lighttrack,Model_B_CD30_Default,337,423,86,25.52,55.45,86,0
MOT20-05,lighttrack,Model_B_CD60,337,392,55,16.32,36.92,55,0
